,PRODUCT NAME,PRICE
0,"Spark 4 Air, 6.1 inches, 32GB + 2GB (Dual SIM) - Black","9,549"
1,"P30, 6.3 inches, 4GB + 64GB, 12MP+20MP+8MP+13MP, (Dual SIM), Black","11,599"
2, 441 Multi-Media Sub-woofer Speaker System Bluetooth FM Radio USB  - 4500W PMPO -,"3,900"
3,Men's Slip-Ons Casual Breathable Canvas Sneakers - Black,891
4,Casual Men's PU Leather Shoes-brown,"1,260"
5, NH32HD 32 INCHES SMART TV,"15,300"
6,"Galaxy A30s, 6.4 inches, 64 GB + 4 GB (Dual SIM) - Black","20,899"
7,V250W 32GB Flash Disk Drive - Silver,625
8,Men Casual Breathable Lace-Up  Sneakers - Blue,990
9,Redmi 8 6.22 inches HD+ 4GB + 64GB 12MP 4G LTE Smartphone - Black,"12,999"
10,Men's Sport Breathable Laceup Casual Running Shoes,799
11,Note 7 - 6.1 inches- 1GB+16GB - 8MP+2MP+2MP - DUAL SIM - Green,"5,499"
12,Men's Spring New Peas Feet Breathable Casual Shoes-black,990
13,Fashion Handmade Moccasins Men's Loafers Black,755
14,"Galaxy A10S, 6.2 inches, 32 GB + 2 GB, (Dual SIM) - Black","12,999"
15,Mi Band 4 Smart  Band AMOLED Screen Sport Waterproof - Black,"2,999"
16,Men Grooming Kit (with free exclusive man bag),999
17,RS2063BT - 2.1CH Multimedia Speaker System,"2,699"
18,Men brown leather official shoes,"1,350"
19,ZM-Studio One - 2.1 CH Sound Bar - 130W,"15,999"
20,D-6030  - 3.1CH Hi-Fi System -  60W - Black,"4,695"
21,Mp-42A Speaker - Bluetooth 5500W PMPO -Red & Black,"2,599"
22,RS103BT - 2.1CH Multimedia Speaker System,"2,795"
23,Flash Disk 64GB,890
24,J801 2.1CH Hi-Fi System 80W - Black,"7,795"
25,Sugar - 2kg.,198
26,Tomato Ketchup - 400g ,49
27,Nutridefenses Nectar + Tropical Juice 1L,144
28,Margarine - 1kg Blue Band,254
29,Kitchen Towel – Pack Of 2.,189
30,Margarine Medium Fat Spread - 500g,125
31,"Z81, 16GB + 2GB (Dual SIM) 4G,Gold - FREE Screen Protector + Crystal Back Cover","6,999"
32,"Z81, 5.7 inches, 2GB RAM, 16GB ROM (Dual SIM), 4G - Black","6,999"
33,"Hot 8, 6.6 inches, 32 GB + 3 GB (Dual SIM) - Quetzal Cyan","11,499"
34,Redmi 8 6.22 inches HD+ 4GB + 64GB 12MP 4G LTE Smartphone - Black,"12,999"
35,"Note 7, 6.1 inches, 1GB + 16GB (Dual SIM), Black","5,499"
36,"Note 7 Pro, 6.1 inches HD, 3GB +32GB (Dual SIM) - Black","7,499"
37,Wheat Flour Fortified With Vitamins & Minerals - 2kg,114
38,Pure Active 3 In1 Charcoal Anti Blackhead Mask Wash Scrub 150ml,807
39,Mchuzi Mix Beef Scht - 200g,88
40,Skin Care Essentials Pack + Pomegranate Tissue Mask,"1,846"
41,Hair Growth Serum,499
42,Fit Me Matte And Poreless Foundation 30 ml- 350 Caramel,893
43,Earphone (S6)-White,199
44,Car Holder Carmount For Mobile Phone,105
45,XIAOMi Haylou GT1 TWS Wireless Bluetooth 5.0 Earphone Smart,"1,819"
46,❤IP67 Waterproof And Dustproof Color Screen Sport BP Heart Rate Bracelet With USB Direct Charge Watch,"1,098"
47,V9 Business Bluetooth Headset Hanging Ear Wireless CSR Stereo With Voice Control,899
48,QW18 Color Screen Smart Bracelet Heart Rate Monitoring Sports Pedometer Call Information Reminder,"1,099"
49,"Spark 4 Air, 6.1 inches, 32GB + 2GB (Dual SIM) - Black","9,549"
50,LS-421A Multimedia Speaker System With Bluetooth,"2,699"
51,Electric Lunch Box,"1,000"
52,16'' Inch Stand Fan - Black,"2,750"
53,Raw Shea Butter,299
54,Bible,810
55,Walking Jogging Men's Shoes - Black,891
56,Men's Slip-Ons Casual Breathable Canvas Sneakers - Black,891
57,Casual Men's PU Leather Shoes-brown,"1,260"
58,Men Casual Breathable Lace-Up  Sneakers - Blue,990
59,Fashion Handmade Moccasins Men's Loafers Black,755
60,Men's Sport Breathable Laceup Casual Running Shoes,799
61,Men Grooming Kit (with free exclusive man bag),999
62,Germ Protection Antibacterial Total 10 Hand Body Soap Bar - 175g,137
63,Nourishing Cocoa Body Lotion for Women - 400ml,328
64,Vanilla Bean Noel Body Lotion -236ml,999
65,Antibacterial Herbal Soap - BUY 2 +1 FREE,400
66,Even & Matte Soft Smoothing Toner - 125ml.,382
67,Cruzer Blade Flash Disk 16GB - Black & Red,499
68,Flash Disk 64GB,890
69,Flash Disk Cruzer Blade - 16GB + Free universal OTG,499
70,HP Flash Disk 64GB,950
71,Cruzer Spark 32GB + High Quality Metallic USB Cable - Silver,749
72,"Cruzer Blade USB Flash Drive - USB 2.0 - 32GB,Get Free Earphone",569
